YuShan2020	137.00	56.00	79.00	73.00	5.00	76.64	23.36	23.36	43.80	32.85	2
AHUT-SC	86.00	35.00	48.00	80.00	3.00	62.79	37.21	20.93	46.51	32.56	2
YuShan2020	86.00	28.00	53.00	43.00	3.00	77.91	22.09	18.60	37.21	44.19	0
AHUT-SC	150.00	62.00	87.00	122.00	3.00	72.67	27.33	22.67	45.33	32.00	1
YuShan2017	194.00	40.00	140.00	75.00	14.00	88.14	11.86	11.34	41.24	47.42	0
AHUT-SC	24.00	16.00	9.00	20.00	3.00	70.83	29.17	37.50	37.50	25.00	6
YuShan2017	150.00	47.00	103.00	47.00	4.00	90.00	10.00	12.67	32.00	55.33	0
AHUT-SC	23.00	12.00	9.00	20.00	1.00	69.57	30.43	13.04	39.13	47.83	1
HELIOS2019	148.00	78.00	74.00	91.00	5.00	71.62	28.38	33.11	45.27	21.62	0
AHUT-SC	37.00	16.00	18.00	25.00	1.00	81.08	18.92	27.03	56.76	16.22	1
HELIOS2019	164.00	78.00	91.00	88.00	4.00	75.61	24.39	21.95	53.66	24.39	1
AHUT-SC	42.00	14.00	22.00	35.00	7.00	83.33	16.67	21.43	40.48	38.10	0
HELIOS2018	115.00	67.00	46.00	76.00	5.00	73.91	26.09	32.17	44.35	23.48	2
AHUT-SC	32.00	11.00	17.00	16.00	2.00	78.12	21.88	40.62	34.38	25.00	0
CYRUS2019	343.00	97.00	247.00	149.00	2.00	87.17	12.83	15.45	37.61	46.94	1
AHUT-SC	48.00	22.00	24.00	26.00	4.00	66.67	33.33	22.92	62.50	14.58	2
CYRUS2019	234.00	59.00	164.00	111.00	3.00	86.75	13.25	12.82	43.59	43.59	0
AHUT-SC	91.00	30.00	57.00	81.00	3.00	68.13	31.87	19.78	34.07	46.15	0
CYRUS2018	190.00	70.00	116.00	96.00	4.00	81.58	18.42	32.11	45.79	22.11	0
AHUT-SC	99.00	37.00	65.00	59.00	1.00	70.71	29.29	18.18	48.48	33.33	2
AHUT-SC	123.00	49.00	67.00	91.00	4.00	63.41	36.59	19.51	38.21	42.28	2
YuShan2020	83.00	27.00	50.00	71.00	3.00	74.70	25.30	22.89	40.96	36.14	0
AHUT-SC	25.00	14.00	9.00	12.00	1.00	64.00	36.00	36.00	52.00	12.00	4
YuShan2017	124.00	38.00	85.00	27.00	5.00	87.90	12.10	6.45	43.55	50.00	0
AHUT-SC	85.00	39.00	42.00	76.00	8.00	69.41	30.59	23.53	52.94	23.53	2
MT2018SJB	205.00	76.00	126.00	151.00	10.00	80.00	20.00	16.59	34.15	49.27	0
AHUT-SC	67.00	19.00	46.00	39.00	2.00	77.61	22.39	19.40	46.27	34.33	1
MT2018SJB	146.00	59.00	80.00	118.00	9.00	76.03	23.97	19.86	44.52	35.62	0
AHUT-SC	66.00	31.00	29.00	40.00	3.00	66.67	33.33	27.27	48.48	24.24	4
MT2018SJB	95.00	47.00	46.00	71.00	3.00	80.00	20.00	23.16	44.21	32.63	0
AHUT-SC	101.00	36.00	60.00	79.00	4.00	73.27	26.73	19.80	51.49	28.71	0
HELIOS2019	102.00	42.00	53.00	57.00	4.00	73.53	26.47	34.31	41.18	24.51	0
AHUT-SC	26.00	13.00	14.00	23.00	0.00	73.08	26.92	30.77	38.46	30.77	0
HELIOS2018	192.00	103.00	96.00	137.00	4.00	74.48	25.52	36.46	45.83	17.71	2
AHUT-SC	57.00	18.00	36.00	34.00	4.00	89.47	10.53	22.81	50.88	26.32	0
HELIOS2018	94.00	55.00	41.00	67.00	0.00	64.89	35.11	39.36	42.55	18.09	1
AHUT-SC	117.00	43.00	68.00	86.00	7.00	76.07	23.93	21.37	47.01	31.62	0
Fractals2019	133.00	48.00	77.00	32.00	10.00	83.46	16.54	21.80	43.61	34.59	0
AHUT-SC	99.00	31.00	65.00	63.00	4.00	78.79	21.21	21.21	46.46	32.32	1
Fractals2019	169.00	58.00	108.00	45.00	11.00	82.84	17.16	21.89	43.20	34.91	0
AHUT-SC	125.00	46.00	76.00	75.00	0.00	76.80	23.20	24.00	45.60	30.40	2
Fractals2019	87.00	28.00	57.00	18.00	10.00	81.61	18.39	17.24	44.83	37.93	0
AHUT-SC	98.00	30.00	68.00	66.00	2.00	75.51	24.49	15.31	39.80	44.90	2
CYRUS2019	189.00	77.00	113.00	82.00	7.00	86.77	13.23	20.63	33.33	46.03	0
AHUT-SC	134.00	48.00	85.00	80.00	5.00	79.85	20.15	19.40	53.73	26.87	1
CYRUS2018	78.00	33.00	41.00	65.00	5.00	84.62	15.38	20.51	37.18	42.31	0
AHUT-SC	111.00	35.00	69.00	65.00	4.00	73.87	26.13	15.32	45.05	39.64	0
CYRUS2018	120.00	52.00	61.00	78.00	7.00	78.33	21.67	31.67	47.50	20.83	2
