YuShan2020	28.57	0.00	0.00	0.00	0.00	28.57	0.00	14.29	0.00	0.00	14.29	14.29	2
AHUT-SC	40.00	20.00	0.00	0.00	0.00	20.00	0.00	0.00	20.00	0.00	0.00	0.00	2
YuShan2020	0.00	0.00	0.00	50.00	0.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1
YuShan2017	50.00	16.67	0.00	0.00	0.00	0.00	0.00	16.67	0.00	16.67	0.00	0.00	0
AHUT-SC	26.92	30.77	19.23	7.69	3.85	3.85	3.85	3.85	0.00	0.00	0.00	0.00	6
YuShan2017	30.00	30.00	0.00	10.00	0.00	10.00	0.00	0.00	10.00	10.00	0.00	0.00	0
AHUT-SC	28.57	21.43	14.29	0.00	14.29	0.00	7.14	7.14	0.00	0.00	7.14	0.00	1
HELIOS2019	30.77	23.08	7.69	15.38	0.00	0.00	15.38	7.69	0.00	0.00	0.00	0.00	0
AHUT-SC	15.00	25.00	15.00	0.00	10.00	15.00	5.00	5.00	0.00	5.00	5.00	0.00	1
HELIOS2019	25.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	25.00	1
AHUT-SC	21.43	7.14	21.43	14.29	14.29	7.14	7.14	0.00	7.14	0.00	0.00	0.00	0
HELIOS2018	8.33	25.00	16.67	8.33	8.33	16.67	0.00	0.00	8.33	0.00	8.33	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0
CYRUS2019	23.08	30.77	7.69	0.00	0.00	7.69	15.38	0.00	7.69	0.00	0.00	7.69	1
AHUT-SC	50.00	25.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	2
CYRUS2019	30.00	30.00	10.00	10.00	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	10.00	20.00	0.00	20.00	20.00	10.00	0.00	20.00	0.00	0.00	0.00	0.00	0
CYRUS2018	0.00	16.67	16.67	16.67	16.67	0.00	16.67	0.00	0.00	16.67	0.00	0.00	0
AHUT-SC	0.00	0.00	50.00	25.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	2
AHUT-SC	42.86	0.00	0.00	0.00	14.29	0.00	0.00	14.29	14.29	0.00	14.29	0.00	2
YuShan2020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	24.00	8.00	12.00	4.00	8.00	12.00	8.00	4.00	12.00	4.00	0.00	4.00	4
YuShan2017	50.00	33.33	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	25.00	20.83	29.17	0.00	4.17	12.50	0.00	0.00	8.33	0.00	0.00	0.00	2
MT2018SJB	33.33	16.67	0.00	0.00	0.00	16.67	0.00	33.33	0.00	0.00	0.00	0.00	0
AHUT-SC	30.77	15.38	23.08	7.69	0.00	0.00	7.69	7.69	0.00	0.00	7.69	0.00	1
MT2018SJB	33.33	66.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	5.56	16.67	5.56	0.00	11.11	22.22	5.56	11.11	0.00	5.56	5.56	11.11	4
MT2018SJB	31.25	18.75	0.00	6.25	25.00	6.25	0.00	6.25	0.00	0.00	0.00	6.25	0
AHUT-SC	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
HELIOS2019	0.00	12.50	12.50	25.00	0.00	25.00	12.50	0.00	12.50	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	0.00	40.00	20.00	20.00	0.00	0.00	0.00	20.00	0.00	0.00	0
HELIOS2018	20.00	20.00	0.00	20.00	0.00	0.00	0.00	20.00	0.00	20.00	0.00	0.00	2
AHUT-SC	0.00	0.00	50.00	25.00	12.50	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0
HELIOS2018	33.33	16.67	16.67	16.67	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	1
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
Fractals2019	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	22.22	0.00	22.22	22.22	0.00	22.22	0.00	0.00	0.00	0.00	0.00	11.11	1
Fractals2019	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0
AHUT-SC	27.27	9.09	27.27	0.00	9.09	0.00	9.09	0.00	9.09	0.00	0.00	9.09	2
Fractals2019	40.00	20.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	20.00	0.00	0.00	0
AHUT-SC	30.00	20.00	20.00	0.00	20.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	2
CYRUS2019	23.08	30.77	0.00	7.69	15.38	15.38	0.00	0.00	7.69	0.00	0.00	0.00	0
AHUT-SC	33.33	16.67	33.33	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	1
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	25.00	16.67	25.00	16.67	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0
CYRUS2018	0.00	0.00	25.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	25.00	25.00	2
