YuShan2020	36.50	8.03	10.95	8.03	5.84	7.30	7.30	2.92	2.92	5.11	3.65	1.46	2
AHUT-SC	23.26	15.12	8.14	6.98	5.81	3.49	8.14	6.98	2.33	11.63	2.33	5.81	2
YuShan2020	34.88	18.60	13.95	1.16	1.16	8.14	6.98	2.33	6.98	2.33	1.16	2.33	0
AHUT-SC	26.67	20.67	4.67	5.33	8.00	7.33	7.33	4.00	2.67	5.33	4.00	4.00	1
YuShan2017	46.91	21.13	7.73	5.67	4.12	2.58	2.06	1.55	3.61	1.03	2.06	1.55	0
AHUT-SC	16.67	20.83	12.50	8.33	12.50	0.00	0.00	16.67	0.00	8.33	4.17	0.00	6
YuShan2017	54.00	16.00	8.67	3.33	4.00	4.00	2.00	3.33	1.33	0.67	1.33	1.33	0
AHUT-SC	17.39	13.04	13.04	13.04	0.00	13.04	0.00	4.35	13.04	4.35	4.35	4.35	1
HELIOS2019	22.97	12.84	9.46	4.73	8.11	13.51	9.46	2.70	7.43	3.38	2.70	2.70	0
AHUT-SC	35.14	13.51	5.41	5.41	8.11	13.51	5.41	0.00	8.11	2.70	0.00	2.70	1
HELIOS2019	26.83	17.68	10.37	10.98	4.27	5.49	7.93	5.49	2.44	4.88	1.83	1.83	1
AHUT-SC	33.33	16.67	14.29	9.52	4.76	4.76	2.38	4.76	2.38	2.38	2.38	2.38	0
HELIOS2018	23.48	16.52	10.43	11.30	5.22	6.96	5.22	6.96	5.22	3.48	2.61	2.61	2
AHUT-SC	28.12	25.00	9.38	6.25	0.00	9.38	3.12	3.12	3.12	3.12	6.25	3.12	0
CYRUS2019	33.24	25.36	16.62	4.66	4.08	3.21	3.50	2.92	0.87	0.00	3.21	2.33	1
AHUT-SC	25.00	18.75	8.33	4.17	6.25	4.17	6.25	10.42	2.08	6.25	2.08	6.25	2
CYRUS2019	34.62	26.07	11.97	6.41	3.85	3.85	2.56	2.14	2.56	1.71	3.42	0.85	0
AHUT-SC	29.67	17.58	6.59	5.49	4.40	4.40	2.20	2.20	2.20	12.09	9.89	3.30	0
CYRUS2018	23.68	20.53	10.53	11.58	7.37	7.89	7.89	3.16	2.11	0.53	2.11	2.63	0
AHUT-SC	23.23	17.17	11.11	4.04	10.10	5.05	10.10	2.02	4.04	5.05	4.04	4.04	2
AHUT-SC	24.39	13.82	4.88	6.50	5.69	8.13	9.76	5.69	6.50	6.50	4.07	4.07	2
YuShan2020	38.55	13.25	6.02	7.23	6.02	3.61	1.20	6.02	4.82	2.41	6.02	4.82	0
AHUT-SC	32.00	4.00	12.00	4.00	12.00	0.00	8.00	4.00	4.00	4.00	4.00	12.00	4
YuShan2017	50.00	20.16	8.06	4.03	3.23	2.42	3.23	1.61	2.42	1.61	2.42	0.81	0
AHUT-SC	17.65	21.18	12.94	4.71	5.88	7.06	3.53	9.41	3.53	2.35	5.88	5.88	2
MT2018SJB	32.20	12.68	10.24	10.24	7.80	6.83	4.39	3.90	3.41	2.93	2.44	2.93	0
AHUT-SC	32.84	14.93	13.43	5.97	4.48	5.97	5.97	4.48	1.49	5.97	1.49	2.99	1
MT2018SJB	30.82	12.33	12.33	6.16	5.48	8.90	7.53	3.42	5.48	2.74	2.05	2.74	0
AHUT-SC	30.30	18.18	6.06	3.03	3.03	6.06	6.06	9.09	6.06	4.55	7.58	0.00	4
MT2018SJB	25.26	21.05	13.68	4.21	4.21	11.58	3.16	2.11	4.21	4.21	3.16	3.16	0
AHUT-SC	24.75	18.81	8.91	10.89	3.96	5.94	6.93	2.97	5.94	6.93	0.99	2.97	0
HELIOS2019	17.65	20.59	13.73	10.78	5.88	4.90	4.90	2.94	2.94	3.92	3.92	7.84	0
AHUT-SC	23.08	23.08	11.54	7.69	3.85	3.85	7.69	0.00	0.00	15.38	0.00	3.85	0
HELIOS2018	24.48	17.19	9.38	9.38	8.85	5.21	5.73	4.69	3.12	5.73	3.65	2.60	2
AHUT-SC	26.32	22.81	12.28	10.53	3.51	14.04	1.75	1.75	1.75	5.26	0.00	0.00	0
HELIOS2018	13.83	18.09	11.70	8.51	7.45	5.32	7.45	3.19	7.45	4.26	8.51	4.26	1
AHUT-SC	26.50	14.53	12.82	11.11	6.84	4.27	5.13	2.56	4.27	2.56	5.98	3.42	0
Fractals2019	37.59	18.80	13.53	7.52	1.50	4.51	4.51	2.26	1.50	2.26	2.26	3.76	0
AHUT-SC	31.31	19.19	10.10	6.06	7.07	5.05	3.03	8.08	3.03	2.02	4.04	1.01	1
Fractals2019	34.91	23.08	10.06	8.88	1.78	4.14	2.37	1.18	2.37	2.37	3.55	5.33	0
AHUT-SC	23.20	21.60	14.40	4.00	8.00	5.60	3.20	3.20	4.00	3.20	0.80	8.80	2
Fractals2019	39.08	11.49	13.79	13.79	2.30	1.15	2.30	2.30	3.45	4.60	3.45	2.30	0
AHUT-SC	27.55	15.31	11.22	6.12	8.16	7.14	3.06	2.04	4.08	5.10	8.16	2.04	2
CYRUS2019	28.04	27.51	15.87	7.41	5.29	2.65	3.70	1.06	2.65	1.06	3.17	1.59	0
AHUT-SC	27.61	20.15	9.70	10.45	8.21	3.73	3.73	2.99	2.99	2.99	4.48	2.99	1
CYRUS2018	21.79	20.51	17.95	6.41	12.82	5.13	3.85	0.00	2.56	1.28	5.13	2.56	0
AHUT-SC	17.12	22.52	9.91	14.41	4.50	5.41	1.80	7.21	2.70	3.60	7.21	3.60	0
CYRUS2018	26.67	17.50	12.50	7.50	6.67	7.50	6.67	4.17	3.33	1.67	3.33	2.50	2
