YuShan2020	42.00	19.00	16.00	18.00	3.00	64.29	35.71	35.71	45.24	19.05	2
AHUT-SC	60.00	35.00	20.00	46.00	3.00	71.67	28.33	33.33	41.67	25.00	2
YuShan2020	17.00	8.00	7.00	14.00	2.00	82.35	17.65	29.41	47.06	23.53	0
AHUT-SC	43.00	20.00	22.00	21.00	1.00	62.79	37.21	20.93	51.16	27.91	1
YuShan2017	39.00	31.00	14.00	26.00	2.00	61.54	38.46	15.38	46.15	38.46	0
AHUT-SC	89.00	48.00	38.00	53.00	2.00	76.40	23.60	28.09	46.07	25.84	6
YuShan2017	18.00	10.00	6.00	7.00	0.00	66.67	33.33	27.78	50.00	22.22	0
AHUT-SC	38.00	26.00	14.00	24.00	3.00	78.95	21.05	26.32	47.37	26.32	1
HELIOS2019	34.00	21.00	14.00	21.00	1.00	64.71	35.29	32.35	50.00	17.65	0
AHUT-SC	70.00	33.00	35.00	46.00	3.00	88.57	11.43	25.71	51.43	22.86	1
HELIOS2019	26.00	15.00	9.00	15.00	2.00	61.54	38.46	23.08	42.31	34.62	1
AHUT-SC	93.00	52.00	41.00	52.00	0.00	72.04	27.96	25.81	46.24	27.96	0
HELIOS2018	26.00	16.00	11.00	10.00	0.00	73.08	26.92	26.92	53.85	19.23	2
AHUT-SC	170.00	90.00	76.00	98.00	9.00	69.41	30.59	33.53	48.24	18.24	0
CYRUS2019	45.00	27.00	17.00	26.00	0.00	68.89	31.11	33.33	42.22	24.44	1
AHUT-SC	127.00	60.00	67.00	72.00	4.00	77.95	22.05	30.71	48.82	20.47	2
CYRUS2019	30.00	18.00	13.00	20.00	3.00	76.67	23.33	30.00	43.33	26.67	0
AHUT-SC	125.00	46.00	81.00	36.00	2.00	87.20	12.80	19.20	43.20	37.60	0
CYRUS2018	14.00	15.00	4.00	11.00	0.00	78.57	21.43	21.43	57.14	21.43	0
AHUT-SC	146.00	61.00	83.00	46.00	2.00	84.25	15.75	17.12	53.42	29.45	2
AHUT-SC	45.00	24.00	24.00	29.00	0.00	88.89	11.11	33.33	33.33	33.33	2
YuShan2020	42.00	30.00	12.00	30.00	2.00	61.90	38.10	19.05	47.62	33.33	0
AHUT-SC	53.00	30.00	24.00	30.00	2.00	73.58	26.42	32.08	43.40	24.53	4
YuShan2017	38.00	23.00	13.00	13.00	2.00	52.63	47.37	18.42	60.53	21.05	0
AHUT-SC	60.00	29.00	26.00	28.00	6.00	73.33	26.67	26.67	45.00	28.33	2
MT2018SJB	43.00	26.00	18.00	28.00	1.00	58.14	41.86	32.56	41.86	25.58	0
AHUT-SC	60.00	33.00	25.00	43.00	2.00	80.00	20.00	23.33	48.33	28.33	1
MT2018SJB	34.00	27.00	11.00	31.00	0.00	85.29	14.71	17.65	41.18	41.18	0
AHUT-SC	37.00	26.00	10.00	25.00	0.00	59.46	40.54	37.84	51.35	10.81	4
MT2018SJB	69.00	50.00	22.00	58.00	4.00	71.01	28.99	24.64	46.38	28.99	0
AHUT-SC	91.00	43.00	47.00	39.00	2.00	74.73	25.27	30.77	46.15	23.08	0
HELIOS2019	46.00	27.00	17.00	19.00	2.00	67.39	32.61	41.30	43.48	15.22	0
AHUT-SC	83.00	48.00	35.00	47.00	3.00	74.70	25.30	26.51	53.01	20.48	0
HELIOS2018	31.00	21.00	11.00	24.00	0.00	67.74	32.26	41.94	38.71	19.35	2
AHUT-SC	108.00	58.00	52.00	56.00	0.00	77.78	22.22	29.63	38.89	31.48	0
HELIOS2018	45.00	34.00	16.00	23.00	0.00	71.11	28.89	42.22	35.56	22.22	1
AHUT-SC	128.00	69.00	58.00	57.00	1.00	78.91	21.09	23.44	50.00	26.56	0
Fractals2019	13.00	7.00	4.00	7.00	1.00	100.00	0.00	0.00	46.15	53.85	0
AHUT-SC	80.00	41.00	40.00	57.00	3.00	70.00	30.00	33.75	46.25	20.00	1
Fractals2019	19.00	8.00	11.00	14.00	1.00	94.74	5.26	10.53	47.37	42.11	0
AHUT-SC	92.00	48.00	43.00	52.00	0.00	75.00	25.00	39.13	40.22	20.65	2
Fractals2019	11.00	11.00	2.00	6.00	1.00	54.55	45.45	36.36	36.36	27.27	0
AHUT-SC	115.00	49.00	66.00	69.00	0.00	83.48	16.52	21.74	39.13	39.13	2
CYRUS2019	41.00	29.00	14.00	25.00	0.00	68.29	31.71	29.27	39.02	31.71	0
AHUT-SC	165.00	59.00	104.00	60.00	2.00	84.85	15.15	23.03	47.27	29.70	1
CYRUS2018	19.00	13.00	6.00	22.00	0.00	73.68	26.32	21.05	31.58	47.37	0
AHUT-SC	175.00	75.00	108.00	72.00	3.00	80.00	20.00	25.71	34.29	40.00	0
CYRUS2018	26.00	16.00	8.00	17.00	1.00	65.38	34.62	26.92	53.85	19.23	2
