YuShan2020	0.00	14.29	0.00	14.29	0.00	14.29	57.14	0.00	2
AHUT-SC	0.00	0.00	40.00	0.00	0.00	40.00	0.00	20.00	2
YuShan2020	0.00	50.00	0.00	0.00	0.00	0.00	0.00	50.00	0
AHUT-SC	0.00	0.00	0.00	0.00	0.00	50.00	0.00	50.00	1
YuShan2017	0.00	0.00	16.67	16.67	16.67	16.67	33.33	0.00	0
AHUT-SC	0.00	11.54	0.00	19.23	19.23	23.08	15.38	11.54	6
YuShan2017	0.00	10.00	20.00	20.00	10.00	10.00	0.00	30.00	0
AHUT-SC	0.00	0.00	7.14	14.29	14.29	21.43	7.14	35.71	1
HELIOS2019	0.00	0.00	7.69	15.38	23.08	30.77	7.69	15.38	0
AHUT-SC	0.00	15.00	15.00	10.00	10.00	20.00	20.00	10.00	1
HELIOS2019	0.00	0.00	50.00	0.00	0.00	25.00	0.00	25.00	1
AHUT-SC	0.00	0.00	7.14	14.29	21.43	21.43	21.43	14.29	0
HELIOS2018	0.00	16.67	8.33	8.33	8.33	0.00	0.00	58.33	2
AHUT-SC	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0
CYRUS2019	0.00	7.69	7.69	0.00	15.38	7.69	46.15	15.38	1
AHUT-SC	0.00	0.00	0.00	25.00	50.00	25.00	0.00	0.00	2
CYRUS2019	0.00	20.00	0.00	10.00	10.00	20.00	30.00	10.00	0
AHUT-SC	0.00	0.00	10.00	40.00	30.00	0.00	0.00	20.00	0
CYRUS2018	0.00	50.00	16.67	0.00	33.33	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	0.00	0.00	50.00	50.00	0.00	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	14.29	14.29	0.00	71.43	2
YuShan2020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	24.00	12.00	8.00	8.00	12.00	12.00	24.00	4
YuShan2017	0.00	0.00	0.00	0.00	0.00	16.67	33.33	50.00	0
AHUT-SC	0.00	16.67	20.83	16.67	4.17	16.67	8.33	16.67	2
MT2018SJB	0.00	0.00	0.00	33.33	0.00	0.00	16.67	50.00	0
AHUT-SC	0.00	15.38	0.00	7.69	7.69	15.38	15.38	38.46	1
MT2018SJB	0.00	0.00	33.33	0.00	33.33	0.00	0.00	33.33	0
AHUT-SC	0.00	5.56	5.56	0.00	22.22	27.78	16.67	22.22	4
MT2018SJB	0.00	6.25	6.25	0.00	25.00	6.25	31.25	25.00	0
AHUT-SC	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0
HELIOS2019	0.00	12.50	12.50	0.00	25.00	12.50	12.50	25.00	0
AHUT-SC	0.00	0.00	20.00	20.00	20.00	0.00	40.00	0.00	0
HELIOS2018	0.00	0.00	0.00	20.00	20.00	60.00	0.00	0.00	2
AHUT-SC	0.00	0.00	25.00	0.00	12.50	37.50	12.50	12.50	0
HELIOS2018	0.00	33.33	0.00	0.00	16.67	16.67	16.67	16.67	1
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
Fractals2019	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0
AHUT-SC	0.00	11.11	11.11	11.11	22.22	22.22	22.22	0.00	1
Fractals2019	0.00	0.00	0.00	0.00	50.00	50.00	0.00	0.00	0
AHUT-SC	0.00	0.00	9.09	0.00	18.18	27.27	18.18	27.27	2
Fractals2019	0.00	0.00	0.00	20.00	0.00	20.00	40.00	20.00	0
AHUT-SC	0.00	10.00	10.00	10.00	20.00	10.00	20.00	20.00	2
CYRUS2019	0.00	15.38	23.08	0.00	7.69	7.69	15.38	30.77	0
AHUT-SC	0.00	0.00	33.33	0.00	0.00	16.67	16.67	33.33	1
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	8.33	33.33	0.00	0.00	41.67	16.67	0
CYRUS2018	0.00	25.00	0.00	0.00	0.00	25.00	25.00	25.00	2
