YuShan2020	0.00	21.43	14.29	7.14	9.52	28.57	14.29	4.76	2
AHUT-SC	0.00	25.00	8.33	11.67	21.67	8.33	10.00	15.00	2
YuShan2020	0.00	11.76	17.65	17.65	17.65	11.76	11.76	11.76	0
AHUT-SC	0.00	11.63	9.30	20.93	16.28	13.95	16.28	11.63	1
YuShan2017	0.00	7.69	7.69	17.95	15.38	12.82	33.33	5.13	0
AHUT-SC	0.00	14.61	13.48	17.98	17.98	10.11	10.11	15.73	6
YuShan2017	0.00	16.67	11.11	5.56	16.67	27.78	11.11	11.11	0
AHUT-SC	0.00	18.42	7.89	18.42	7.89	21.05	10.53	15.79	1
HELIOS2019	0.00	17.65	14.71	20.59	20.59	8.82	5.88	11.76	0
AHUT-SC	0.00	14.29	11.43	14.29	21.43	15.71	11.43	11.43	1
HELIOS2019	0.00	19.23	3.85	19.23	11.54	11.54	23.08	11.54	1
AHUT-SC	0.00	11.83	13.98	13.98	18.28	13.98	6.45	21.51	0
HELIOS2018	0.00	11.54	15.38	19.23	11.54	23.08	11.54	7.69	2
AHUT-SC	0.00	20.00	13.53	21.76	11.18	15.29	10.59	7.65	0
CYRUS2019	0.00	22.22	11.11	13.33	22.22	6.67	13.33	11.11	1
AHUT-SC	0.00	17.32	13.39	16.54	17.32	14.96	9.45	11.02	2
CYRUS2019	0.00	10.00	20.00	20.00	13.33	10.00	13.33	13.33	0
AHUT-SC	0.00	10.40	8.80	12.80	13.60	16.80	23.20	14.40	0
CYRUS2018	0.00	7.14	14.29	21.43	14.29	21.43	7.14	14.29	0
AHUT-SC	0.00	10.27	6.85	14.38	21.23	17.81	16.44	13.01	2
AHUT-SC	0.00	26.67	6.67	4.44	20.00	8.89	15.56	17.78	2
YuShan2020	0.00	2.38	16.67	9.52	21.43	16.67	14.29	19.05	0
AHUT-SC	0.00	22.64	9.43	13.21	15.09	15.09	16.98	7.55	4
YuShan2017	0.00	7.89	10.53	10.53	10.53	39.47	13.16	7.89	0
AHUT-SC	0.00	15.00	11.67	20.00	13.33	11.67	20.00	8.33	2
MT2018SJB	0.00	18.60	13.95	11.63	9.30	20.93	9.30	16.28	0
AHUT-SC	0.00	13.33	10.00	16.67	13.33	18.33	10.00	18.33	1
MT2018SJB	0.00	8.82	8.82	11.76	11.76	17.65	14.71	26.47	0
AHUT-SC	0.00	5.41	32.43	18.92	18.92	13.51	8.11	2.70	4
MT2018SJB	0.00	15.94	8.70	18.84	11.59	15.94	14.49	14.49	0
AHUT-SC	0.00	15.38	15.38	13.19	15.38	17.58	16.48	6.59	0
HELIOS2019	0.00	17.39	23.91	10.87	13.04	19.57	4.35	10.87	0
AHUT-SC	0.00	14.46	12.05	19.28	24.10	9.64	8.43	12.05	0
HELIOS2018	0.00	12.90	29.03	9.68	22.58	6.45	12.90	6.45	2
AHUT-SC	0.00	15.74	13.89	12.04	15.74	11.11	12.04	19.44	0
HELIOS2018	0.00	22.22	20.00	20.00	6.67	8.89	15.56	6.67	1
AHUT-SC	0.00	14.84	8.59	16.41	17.97	15.62	18.75	7.81	0
Fractals2019	0.00	0.00	0.00	7.69	15.38	23.08	23.08	30.77	0
AHUT-SC	0.00	17.50	16.25	8.75	17.50	20.00	11.25	8.75	1
Fractals2019	0.00	0.00	10.53	15.79	10.53	21.05	26.32	15.79	0
AHUT-SC	0.00	25.00	14.13	17.39	9.78	13.04	7.61	13.04	2
Fractals2019	0.00	18.18	18.18	18.18	18.18	0.00	0.00	27.27	0
AHUT-SC	0.00	11.30	10.43	10.43	13.91	14.78	13.91	25.22	2
CYRUS2019	0.00	21.95	7.32	9.76	17.07	12.20	2.44	29.27	0
AHUT-SC	0.00	13.33	9.70	15.76	14.55	16.97	16.36	13.33	1
CYRUS2018	0.00	21.05	0.00	21.05	0.00	10.53	10.53	36.84	0
AHUT-SC	0.00	13.71	12.00	10.86	13.14	10.29	17.71	22.29	0
CYRUS2018	0.00	15.38	11.54	26.92	11.54	15.38	11.54	7.69	2
