YuShan2020	0.00	13.14	10.22	15.33	13.87	14.60	16.79	16.06	2
AHUT-SC	0.00	10.47	10.47	20.93	15.12	10.47	13.95	18.60	2
YuShan2020	0.00	10.47	8.14	17.44	5.81	13.95	20.93	23.26	0
AHUT-SC	0.00	12.00	10.67	13.33	20.00	12.00	13.33	18.67	1
YuShan2017	0.00	3.09	8.25	6.70	13.40	21.13	28.35	19.07	0
AHUT-SC	0.00	16.67	20.83	12.50	8.33	16.67	8.33	16.67	6
YuShan2017	0.00	8.00	4.67	5.33	10.00	16.67	27.33	28.00	0
AHUT-SC	0.00	8.70	4.35	8.70	21.74	8.70	26.09	21.74	1
HELIOS2019	0.00	15.54	17.57	14.86	11.49	18.92	10.14	11.49	0
AHUT-SC	0.00	16.22	10.81	16.22	21.62	18.92	10.81	5.41	1
HELIOS2019	0.00	9.15	12.80	20.73	15.85	17.07	12.20	12.20	1
AHUT-SC	0.00	14.29	7.14	14.29	7.14	19.05	19.05	19.05	0
HELIOS2018	0.00	14.78	17.39	16.52	13.04	14.78	15.65	7.83	2
AHUT-SC	0.00	15.62	25.00	9.38	9.38	15.62	15.62	9.38	0
CYRUS2019	0.00	9.91	5.54	6.41	11.08	20.12	25.95	20.99	1
AHUT-SC	0.00	8.33	14.58	20.83	22.92	18.75	8.33	6.25	2
CYRUS2019	0.00	9.40	3.42	9.40	11.11	23.08	23.08	20.51	0
AHUT-SC	0.00	9.89	9.89	15.38	6.59	12.09	20.88	25.27	0
CYRUS2018	0.00	14.74	17.37	14.21	15.79	15.79	12.63	9.47	0
AHUT-SC	0.00	7.07	11.11	13.13	16.16	19.19	19.19	14.14	2
AHUT-SC	0.00	13.82	5.69	13.01	12.20	13.01	14.63	27.64	2
YuShan2020	0.00	10.84	12.05	13.25	10.84	16.87	18.07	18.07	0
AHUT-SC	0.00	24.00	12.00	20.00	12.00	20.00	8.00	4.00	4
YuShan2017	0.00	4.03	2.42	4.84	14.52	24.19	30.65	19.35	0
AHUT-SC	0.00	14.12	9.41	12.94	15.29	24.71	12.94	10.59	2
MT2018SJB	0.00	8.78	7.80	9.27	8.78	16.10	17.07	32.20	0
AHUT-SC	0.00	16.42	2.99	10.45	16.42	19.40	17.91	16.42	1
MT2018SJB	0.00	9.59	10.27	11.64	13.70	19.18	18.49	17.12	0
AHUT-SC	0.00	16.67	10.61	22.73	15.15	10.61	15.15	9.09	4
MT2018SJB	0.00	11.58	11.58	9.47	16.84	17.89	12.63	20.00	0
AHUT-SC	0.00	15.84	3.96	18.81	15.84	16.83	17.82	10.89	0
HELIOS2019	0.00	17.65	16.67	15.69	9.80	15.69	8.82	15.69	0
AHUT-SC	0.00	11.54	19.23	3.85	11.54	23.08	15.38	15.38	0
HELIOS2018	0.00	21.88	14.58	13.54	16.67	15.62	10.94	6.77	2
AHUT-SC	0.00	10.53	12.28	15.79	21.05	14.04	15.79	10.53	0
HELIOS2018	0.00	23.40	15.96	10.64	12.77	19.15	5.32	12.77	1
AHUT-SC	0.00	11.97	9.40	14.53	10.26	22.22	12.82	18.80	0
Fractals2019	0.00	10.53	11.28	12.78	15.79	15.04	16.54	18.05	0
AHUT-SC	0.00	8.08	13.13	13.13	22.22	11.11	14.14	18.18	1
Fractals2019	0.00	7.10	14.79	13.02	7.10	23.08	21.30	13.61	0
AHUT-SC	0.00	12.80	11.20	23.20	8.00	14.40	16.80	13.60	2
Fractals2019	0.00	10.34	6.90	9.20	11.49	24.14	19.54	18.39	0
AHUT-SC	0.00	10.20	5.10	11.22	15.31	13.27	23.47	21.43	2
CYRUS2019	0.00	12.17	8.47	6.88	16.93	9.52	22.75	23.28	0
AHUT-SC	0.00	6.72	12.69	19.40	15.67	18.66	11.19	15.67	1
CYRUS2018	0.00	12.82	7.69	12.82	7.69	16.67	17.95	24.36	0
AHUT-SC	0.00	7.21	8.11	18.92	12.61	13.51	18.02	21.62	0
CYRUS2018	0.00	22.50	9.17	15.83	14.17	17.50	9.17	11.67	2
