YuShan2020	2.00	1.00	0.00	1.00	0.00	0.00	100.00	0.00	50.00	50.00	2
AHUT-SC	2.00	2.00	0.00	4.00	0.00	0.00	100.00	0.00	100.00	0.00	2
YuShan2020	6.00	6.00	0.00	5.00	0.00	83.33	16.67	66.67	0.00	33.33	0
AHUT-SC	2.00	2.00	0.00	0.00	1.00	100.00	0.00	50.00	50.00	0.00	1
YuShan2017	7.00	6.00	2.00	6.00	1.00	71.43	28.57	28.57	42.86	28.57	0
AHUT-SC	9.00	2.00	6.00	4.00	0.00	44.44	55.56	44.44	11.11	44.44	6
YuShan2017	7.00	2.00	3.00	0.00	2.00	85.71	14.29	28.57	28.57	42.86	0
AHUT-SC	3.00	1.00	0.00	0.00	1.00	100.00	0.00	66.67	0.00	33.33	1
HELIOS2019	3.00	4.00	0.00	1.00	0.00	66.67	33.33	66.67	33.33	0.00	0
AHUT-SC	6.00	5.00	2.00	1.00	1.00	83.33	16.67	66.67	0.00	33.33	1
HELIOS2019	9.00	6.00	2.00	2.00	0.00	77.78	22.22	22.22	44.44	33.33	1
AHUT-SC	3.00	1.00	1.00	0.00	0.00	66.67	33.33	100.00	0.00	0.00	0
HELIOS2018	6.00	5.00	1.00	2.00	0.00	50.00	50.00	66.67	33.33	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
CYRUS2019	2.00	0.00	0.00	0.00	0.00	100.00	0.00	50.00	50.00	0.00	1
AHUT-SC	2.00	1.00	2.00	0.00	0.00	50.00	50.00	0.00	50.00	50.00	2
CYRUS2019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	3.00	2.00	1.00	3.00	0.00	100.00	0.00	0.00	33.33	66.67	0
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	1.00	2.00	0.00	1.00	0.00	100.00	0.00	100.00	0.00	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
YuShan2020	8.00	8.00	1.00	5.00	2.00	75.00	25.00	87.50	12.50	0.00	0
AHUT-SC	4.00	3.00	1.00	2.00	0.00	100.00	0.00	50.00	0.00	50.00	4
YuShan2017	6.00	1.00	2.00	3.00	1.00	83.33	16.67	16.67	50.00	33.33	0
AHUT-SC	4.00	3.00	1.00	3.00	0.00	75.00	25.00	25.00	75.00	0.00	2
MT2018SJB	2.00	0.00	1.00	4.00	0.00	100.00	0.00	0.00	100.00	0.00	0
AHUT-SC	4.00	3.00	1.00	2.00	0.00	50.00	50.00	50.00	25.00	25.00	1
MT2018SJB	2.00	1.00	1.00	0.00	0.00	100.00	0.00	100.00	0.00	0.00	0
AHUT-SC	7.00	2.00	3.00	3.00	0.00	42.86	57.14	71.43	28.57	0.00	4
MT2018SJB	4.00	4.00	1.00	6.00	0.00	100.00	0.00	25.00	50.00	25.00	0
AHUT-SC	8.00	6.00	2.00	1.00	0.00	87.50	12.50	50.00	37.50	12.50	0
HELIOS2019	1.00	2.00	0.00	6.00	1.00	0.00	100.00	0.00	100.00	0.00	0
AHUT-SC	2.00	1.00	0.00	1.00	0.00	100.00	0.00	50.00	50.00	0.00	0
HELIOS2018	8.00	3.00	3.00	9.00	0.00	87.50	12.50	37.50	25.00	37.50	2
AHUT-SC	1.00	0.00	0.00	0.00	1.00	0.00	100.00	0.00	0.00	100.00	0
HELIOS2018	2.00	1.00	0.00	0.00	1.00	50.00	50.00	0.00	50.00	50.00	1
AHUT-SC	10.00	6.00	5.00	7.00	0.00	60.00	40.00	30.00	70.00	0.00	0
Fractals2019	2.00	1.00	0.00	2.00	1.00	100.00	0.00	0.00	0.00	100.00	0
AHUT-SC	3.00	0.00	2.00	5.00	0.00	66.67	33.33	0.00	33.33	66.67	1
Fractals2019	5.00	3.00	2.00	9.00	0.00	60.00	40.00	40.00	0.00	60.00	0
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
Fractals2019	4.00	3.00	1.00	2.00	0.00	100.00	0.00	50.00	25.00	25.00	0
AHUT-SC	5.00	4.00	0.00	4.00	0.00	80.00	20.00	60.00	40.00	0.00	2
CYRUS2019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1
CYRUS2018	1.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	100.00	0
AHUT-SC	4.00	2.00	0.00	4.00	0.00	25.00	75.00	75.00	25.00	0.00	0
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
