YuShan2020	0.00	33.33	0.00	0.00	0.00	0.00	0.00	66.67	2
AHUT-SC	0.00	25.00	25.00	25.00	0.00	0.00	25.00	0.00	2
YuShan2020	0.00	54.55	9.09	0.00	0.00	18.18	9.09	9.09	0
AHUT-SC	0.00	0.00	0.00	50.00	50.00	0.00	0.00	0.00	1
YuShan2017	0.00	40.00	0.00	20.00	0.00	0.00	20.00	20.00	0
AHUT-SC	0.00	77.78	0.00	0.00	0.00	11.11	0.00	11.11	6
YuShan2017	0.00	42.86	0.00	0.00	0.00	14.29	14.29	28.57	0
AHUT-SC	0.00	44.44	0.00	0.00	11.11	22.22	11.11	11.11	1
HELIOS2019	0.00	20.00	10.00	20.00	10.00	0.00	20.00	20.00	0
AHUT-SC	0.00	50.00	25.00	0.00	0.00	0.00	0.00	25.00	1
HELIOS2019	0.00	0.00	0.00	66.67	33.33	0.00	0.00	0.00	1
AHUT-SC	0.00	20.00	0.00	0.00	20.00	20.00	0.00	40.00	0
HELIOS2018	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	2
AHUT-SC	0.00	44.44	0.00	11.11	11.11	11.11	22.22	0.00	0
CYRUS2019	0.00	20.00	0.00	20.00	20.00	0.00	40.00	0.00	1
AHUT-SC	0.00	75.00	25.00	0.00	0.00	0.00	0.00	0.00	2
CYRUS2019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	50.00	20.00	0.00	10.00	10.00	10.00	0.00	0
CYRUS2018	0.00	25.00	50.00	0.00	0.00	0.00	0.00	25.00	0
AHUT-SC	0.00	22.22	5.56	0.00	11.11	22.22	22.22	16.67	2
AHUT-SC	0.00	33.33	16.67	0.00	16.67	16.67	16.67	0.00	2
YuShan2020	0.00	0.00	0.00	33.33	33.33	33.33	0.00	0.00	0
AHUT-SC	0.00	23.08	7.69	23.08	15.38	7.69	7.69	15.38	4
YuShan2017	0.00	37.50	0.00	12.50	12.50	12.50	12.50	12.50	0
AHUT-SC	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	2
MT2018SJB	0.00	20.00	20.00	20.00	20.00	0.00	0.00	20.00	0
AHUT-SC	0.00	40.00	20.00	0.00	0.00	20.00	0.00	20.00	1
MT2018SJB	0.00	33.33	0.00	16.67	16.67	16.67	0.00	16.67	0
AHUT-SC	0.00	0.00	0.00	50.00	50.00	0.00	0.00	0.00	4
MT2018SJB	0.00	21.43	7.14	14.29	14.29	21.43	7.14	14.29	0
AHUT-SC	0.00	33.33	66.67	0.00	0.00	0.00	0.00	0.00	0
HELIOS2019	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0
AHUT-SC	0.00	20.00	40.00	20.00	20.00	0.00	0.00	0.00	0
HELIOS2018	0.00	33.33	0.00	33.33	0.00	33.33	0.00	0.00	2
AHUT-SC	0.00	23.08	15.38	7.69	7.69	15.38	7.69	23.08	0
HELIOS2018	0.00	33.33	0.00	0.00	33.33	0.00	33.33	0.00	1
AHUT-SC	0.00	33.33	0.00	0.00	33.33	33.33	0.00	0.00	0
Fractals2019	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0
AHUT-SC	0.00	58.33	8.33	16.67	0.00	8.33	0.00	8.33	1
Fractals2019	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	33.33	0.00	11.11	33.33	0.00	11.11	11.11	2
Fractals2019	0.00	25.00	0.00	0.00	50.00	0.00	0.00	25.00	0
AHUT-SC	0.00	0.00	22.22	11.11	22.22	22.22	0.00	22.22	2
CYRUS2019	0.00	66.67	0.00	0.00	0.00	33.33	0.00	0.00	0
AHUT-SC	0.00	16.67	33.33	16.67	0.00	33.33	0.00	0.00	1
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	42.86	0.00	14.29	14.29	0.00	14.29	14.29	0
CYRUS2018	0.00	33.33	33.33	0.00	0.00	33.33	0.00	0.00	2
