YuShan2020	0.00	22.22	0.00	16.67	5.56	16.67	16.67	22.22	2
AHUT-SC	0.00	21.05	10.53	10.53	15.79	21.05	0.00	21.05	2
YuShan2020	0.00	17.24	17.24	6.90	13.79	13.79	13.79	17.24	0
AHUT-SC	0.00	10.34	27.59	3.45	17.24	6.90	20.69	13.79	1
YuShan2017	0.00	7.69	7.69	0.00	23.08	15.38	15.38	30.77	0
AHUT-SC	0.00	14.29	16.67	19.05	11.90	11.90	16.67	9.52	6
YuShan2017	0.00	6.25	0.00	18.75	6.25	37.50	25.00	6.25	0
AHUT-SC	0.00	12.90	8.06	20.97	19.35	16.13	16.13	6.45	1
HELIOS2019	0.00	24.00	12.00	24.00	12.00	12.00	12.00	4.00	0
AHUT-SC	0.00	12.77	6.38	21.28	27.66	10.64	12.77	8.51	1
HELIOS2019	0.00	18.52	14.81	11.11	11.11	25.93	7.41	11.11	1
AHUT-SC	0.00	15.69	7.84	11.76	5.88	19.61	17.65	21.57	0
HELIOS2018	0.00	11.11	16.67	16.67	16.67	11.11	22.22	5.56	2
AHUT-SC	0.00	19.30	16.67	17.54	14.04	10.53	10.53	11.40	0
CYRUS2019	0.00	40.00	20.00	40.00	0.00	0.00	0.00	0.00	1
AHUT-SC	0.00	17.44	6.98	16.28	13.95	13.95	16.28	15.12	2
CYRUS2019	0.00	12.50	0.00	12.50	20.83	16.67	25.00	12.50	0
AHUT-SC	0.00	9.88	7.41	12.35	14.81	22.22	16.05	17.28	0
CYRUS2018	0.00	37.50	12.50	0.00	12.50	18.75	18.75	0.00	0
AHUT-SC	0.00	9.28	6.19	14.43	8.25	14.43	15.46	31.96	2
AHUT-SC	0.00	34.09	9.09	9.09	11.36	13.64	15.91	6.82	2
YuShan2020	0.00	17.14	11.43	11.43	17.14	20.00	8.57	14.29	0
AHUT-SC	0.00	3.12	17.19	7.81	14.06	10.94	18.75	28.12	4
YuShan2017	0.00	0.00	16.67	16.67	0.00	33.33	0.00	33.33	0
AHUT-SC	0.00	20.51	10.26	20.51	15.38	12.82	5.13	15.38	2
MT2018SJB	0.00	9.09	9.09	13.64	13.64	9.09	18.18	27.27	0
AHUT-SC	0.00	16.67	9.52	16.67	7.14	19.05	16.67	14.29	1
MT2018SJB	0.00	9.68	9.68	6.45	19.35	16.13	25.81	12.90	0
AHUT-SC	0.00	12.24	10.20	16.33	14.29	16.33	20.41	10.20	4
MT2018SJB	0.00	20.00	5.00	5.00	10.00	10.00	30.00	20.00	0
AHUT-SC	0.00	22.22	16.67	13.89	15.28	15.28	5.56	11.11	0
HELIOS2019	0.00	20.59	5.88	14.71	11.76	14.71	20.59	11.76	0
AHUT-SC	0.00	15.52	8.62	15.52	27.59	15.52	10.34	6.90	0
HELIOS2018	0.00	10.00	10.00	25.00	0.00	25.00	15.00	15.00	2
AHUT-SC	0.00	15.75	11.81	17.32	16.54	8.66	9.45	20.47	0
HELIOS2018	0.00	17.39	17.39	21.74	8.70	8.70	26.09	0.00	1
AHUT-SC	0.00	20.75	15.09	15.09	13.21	8.49	16.04	11.32	0
Fractals2019	0.00	8.70	8.70	4.35	30.43	8.70	8.70	30.43	0
AHUT-SC	0.00	11.86	8.47	13.56	33.90	16.95	6.78	8.47	1
Fractals2019	0.00	15.38	7.69	11.54	7.69	26.92	11.54	19.23	0
AHUT-SC	0.00	26.32	12.28	12.28	12.28	17.54	14.04	5.26	2
Fractals2019	0.00	10.00	10.00	5.00	15.00	15.00	25.00	20.00	0
AHUT-SC	0.00	15.79	6.58	21.05	11.84	13.16	15.79	15.79	2
CYRUS2019	0.00	4.76	4.76	0.00	19.05	14.29	38.10	19.05	0
AHUT-SC	0.00	12.84	16.51	15.60	18.35	13.76	11.93	11.01	1
CYRUS2018	0.00	30.00	20.00	15.00	10.00	5.00	5.00	15.00	0
AHUT-SC	0.00	15.25	7.63	11.02	18.64	11.86	16.95	18.64	0
CYRUS2018	0.00	21.43	14.29	17.86	25.00	7.14	0.00	14.29	2
