YuShan2020	18.00	7.00	9.00	9.00	2.00	66.67	33.33	22.22	38.89	38.89	2
AHUT-SC	19.00	7.00	12.00	9.00	1.00	73.68	26.32	31.58	47.37	21.05	2
YuShan2020	29.00	13.00	17.00	11.00	2.00	72.41	27.59	34.48	34.48	31.03	0
AHUT-SC	29.00	12.00	15.00	31.00	0.00	68.97	31.03	37.93	27.59	34.48	1
YuShan2017	13.00	5.00	6.00	3.00	0.00	76.92	23.08	15.38	38.46	46.15	0
AHUT-SC	42.00	22.00	22.00	32.00	1.00	80.95	19.05	30.95	42.86	26.19	6
YuShan2017	16.00	9.00	8.00	4.00	0.00	87.50	12.50	6.25	62.50	31.25	0
AHUT-SC	62.00	18.00	43.00	27.00	1.00	80.65	19.35	20.97	56.45	22.58	1
HELIOS2019	25.00	12.00	8.00	16.00	3.00	60.00	40.00	36.00	48.00	16.00	0
AHUT-SC	47.00	18.00	29.00	28.00	0.00	76.60	23.40	19.15	59.57	21.28	1
HELIOS2019	27.00	10.00	15.00	13.00	3.00	77.78	22.22	33.33	48.15	18.52	1
AHUT-SC	51.00	27.00	22.00	29.00	0.00	74.51	25.49	23.53	37.25	39.22	0
HELIOS2018	18.00	9.00	9.00	10.00	2.00	83.33	16.67	27.78	44.44	27.78	2
AHUT-SC	114.00	55.00	55.00	71.00	2.00	80.70	19.30	35.96	42.11	21.93	0
CYRUS2019	5.00	6.00	0.00	3.00	1.00	60.00	40.00	60.00	40.00	0.00	1
AHUT-SC	86.00	28.00	55.00	33.00	1.00	82.56	17.44	24.42	44.19	31.40	2
CYRUS2019	24.00	6.00	14.00	8.00	1.00	79.17	20.83	12.50	50.00	37.50	0
AHUT-SC	81.00	24.00	52.00	38.00	0.00	82.72	17.28	17.28	49.38	33.33	0
CYRUS2018	16.00	9.00	5.00	12.00	1.00	87.50	12.50	50.00	31.25	18.75	0
AHUT-SC	97.00	28.00	70.00	30.00	1.00	90.72	9.28	15.46	37.11	47.42	2
AHUT-SC	44.00	25.00	19.00	31.00	1.00	70.45	29.55	43.18	34.09	22.73	2
YuShan2020	35.00	16.00	17.00	17.00	1.00	80.00	20.00	28.57	48.57	22.86	0
AHUT-SC	64.00	21.00	42.00	49.00	1.00	85.94	14.06	20.31	32.81	46.88	4
YuShan2017	6.00	3.00	2.00	0.00	2.00	83.33	16.67	16.67	50.00	33.33	0
AHUT-SC	39.00	16.00	21.00	25.00	0.00	79.49	20.51	30.77	48.72	20.51	2
MT2018SJB	22.00	7.00	11.00	12.00	2.00	59.09	40.91	18.18	36.36	45.45	0
AHUT-SC	42.00	15.00	24.00	20.00	3.00	80.95	19.05	26.19	42.86	30.95	1
MT2018SJB	31.00	7.00	23.00	7.00	0.00	90.32	9.68	19.35	41.94	38.71	0
AHUT-SC	49.00	28.00	23.00	40.00	0.00	75.51	24.49	22.45	46.94	30.61	4
MT2018SJB	20.00	4.00	14.00	5.00	0.00	75.00	25.00	25.00	25.00	50.00	0
AHUT-SC	72.00	33.00	32.00	35.00	1.00	68.06	31.94	38.89	44.44	16.67	0
HELIOS2019	34.00	12.00	18.00	14.00	4.00	82.35	17.65	26.47	41.18	32.35	0
AHUT-SC	58.00	28.00	32.00	28.00	0.00	77.59	22.41	24.14	58.62	17.24	0
HELIOS2018	20.00	3.00	17.00	7.00	3.00	85.00	15.00	20.00	50.00	30.00	2
AHUT-SC	127.00	49.00	71.00	67.00	3.00	82.68	17.32	27.56	42.52	29.92	0
HELIOS2018	23.00	10.00	9.00	15.00	0.00	65.22	34.78	34.78	39.13	26.09	1
AHUT-SC	106.00	41.00	56.00	40.00	1.00	75.47	24.53	35.85	36.79	27.36	0
Fractals2019	23.00	5.00	16.00	10.00	1.00	78.26	21.74	17.39	43.48	39.13	0
AHUT-SC	59.00	19.00	39.00	32.00	2.00	76.27	23.73	20.34	64.41	15.25	1
Fractals2019	26.00	8.00	17.00	7.00	0.00	92.31	7.69	23.08	46.15	30.77	0
AHUT-SC	57.00	25.00	31.00	17.00	0.00	78.95	21.05	38.60	42.11	19.30	2
Fractals2019	20.00	7.00	11.00	7.00	2.00	85.00	15.00	20.00	35.00	45.00	0
AHUT-SC	76.00	27.00	46.00	38.00	1.00	76.32	23.68	22.37	46.05	31.58	2
CYRUS2019	21.00	7.00	16.00	10.00	1.00	76.19	23.81	9.52	33.33	57.14	0
AHUT-SC	109.00	41.00	64.00	46.00	2.00	82.57	17.43	29.36	47.71	22.94	1
CYRUS2018	20.00	9.00	10.00	9.00	1.00	85.00	15.00	50.00	30.00	20.00	0
AHUT-SC	118.00	33.00	79.00	39.00	1.00	82.20	17.80	22.88	41.53	35.59	0
CYRUS2018	28.00	18.00	9.00	22.00	0.00	64.29	35.71	35.71	50.00	14.29	2
