YuShan2020	32.34	17.37	7.78	3.59	5.39	6.59	4.79	5.39	5.39	4.79	3.59	2.99	2
AHUT-SC	28.57	14.29	11.82	6.90	6.40	7.88	2.46	4.93	3.94	4.93	3.94	3.94	2
YuShan2020	30.61	18.37	6.12	8.16	7.14	4.08	6.12	8.16	2.04	2.04	5.10	2.04	0
AHUT-SC	33.99	17.39	9.88	3.95	4.74	4.35	4.74	4.35	3.56	3.95	3.16	5.93	1
YuShan2017	50.00	8.33	8.33	0.00	0.00	8.33	16.67	0.00	8.33	0.00	0.00	0.00	0
AHUT-SC	31.43	17.14	10.00	5.71	15.71	7.14	0.00	2.86	2.86	2.86	2.86	1.43	6
YuShan2017	41.67	25.00	8.33	6.25	2.08	4.17	2.08	0.00	4.17	0.00	6.25	0.00	0
AHUT-SC	38.18	18.18	10.91	5.45	6.36	3.64	6.36	2.73	0.91	1.82	1.82	3.64	1
HELIOS2019	25.61	24.39	8.54	6.10	2.44	6.10	6.10	3.66	4.88	7.32	2.44	2.44	0
AHUT-SC	37.50	14.29	12.50	3.57	5.36	1.79	1.79	5.36	3.57	5.36	5.36	3.57	1
HELIOS2019	32.06	17.56	10.69	7.63	5.34	6.11	5.34	2.29	3.82	3.05	4.58	1.53	1
AHUT-SC	33.33	14.14	10.10	8.08	3.03	5.05	4.04	4.04	4.04	7.07	6.06	1.01	0
HELIOS2018	30.89	16.26	12.20	4.88	1.63	8.94	3.25	4.88	4.88	4.88	5.69	1.63	2
AHUT-SC	36.90	19.05	10.71	2.38	7.14	2.38	3.57	2.38	1.19	9.52	2.38	2.38	0
CYRUS2019	25.51	20.41	11.22	8.16	3.06	5.10	3.06	7.14	2.04	2.04	7.14	5.10	1
AHUT-SC	26.67	22.22	6.67	8.89	0.00	2.22	6.67	0.00	6.67	6.67	4.44	8.89	2
CYRUS2019	31.58	22.11	15.79	6.32	5.26	4.21	3.16	2.11	2.11	1.05	2.11	4.21	0
AHUT-SC	32.79	26.23	9.02	7.38	3.28	1.64	3.28	4.10	0.82	0.82	7.38	3.28	0
CYRUS2018	27.34	20.31	10.94	7.81	10.16	5.47	2.34	4.69	2.34	3.91	0.00	4.69	0
AHUT-SC	33.33	20.00	10.00	5.00	3.33	3.33	5.83	2.50	4.17	4.17	4.17	4.17	2
AHUT-SC	34.57	16.49	11.17	6.38	2.13	6.38	1.06	3.19	5.32	4.26	4.79	4.26	2
YuShan2020	38.24	13.24	9.56	3.68	5.88	5.15	3.68	4.41	1.47	3.68	6.62	4.41	0
AHUT-SC	28.99	23.19	15.94	2.90	5.07	4.35	1.45	2.90	3.62	2.17	5.80	3.62	4
YuShan2017	35.00	20.00	15.00	10.00	0.00	5.00	0.00	0.00	5.00	10.00	0.00	0.00	0
AHUT-SC	35.71	20.71	12.14	4.29	2.14	5.71	4.29	2.14	2.14	2.86	2.14	5.71	2
MT2018SJB	46.46	14.14	11.11	3.03	2.02	4.04	5.05	2.02	3.03	2.02	2.02	5.05	0
AHUT-SC	34.41	17.20	7.53	7.53	5.38	4.30	4.30	0.00	5.38	2.15	6.45	5.38	1
MT2018SJB	47.52	20.79	5.94	3.96	3.96	1.98	4.95	3.96	1.98	2.97	0.99	0.99	0
AHUT-SC	36.90	20.83	10.12	5.36	4.76	4.17	4.17	4.76	0.60	2.38	4.17	1.79	4
MT2018SJB	47.37	8.77	8.77	3.51	5.26	3.51	3.51	3.51	5.26	3.51	3.51	3.51	0
AHUT-SC	32.50	24.38	8.12	5.62	2.50	4.38	4.38	5.00	3.12	5.00	0.62	4.38	0
HELIOS2019	34.09	11.36	10.23	5.68	4.55	5.68	4.55	9.09	1.14	9.09	2.27	2.27	0
AHUT-SC	36.84	19.74	9.21	6.58	3.95	5.26	1.32	5.26	1.32	5.26	3.95	1.32	0
HELIOS2018	28.95	19.74	8.55	8.55	5.92	3.95	6.58	3.95	5.26	3.29	2.63	2.63	2
AHUT-SC	37.78	28.89	8.89	1.11	2.22	5.56	3.33	3.33	1.11	3.33	2.22	2.22	0
HELIOS2018	41.07	19.64	7.14	4.46	0.89	3.57	5.36	5.36	5.36	4.46	0.00	2.68	1
AHUT-SC	35.58	15.95	7.36	4.91	4.29	3.68	6.13	3.68	4.91	3.68	6.13	3.68	0
Fractals2019	37.14	20.00	8.57	2.86	5.71	0.00	2.86	2.86	5.71	0.00	0.00	14.29	0
AHUT-SC	33.33	20.69	8.62	4.02	3.45	5.75	4.60	2.30	6.32	3.45	2.30	5.17	1
Fractals2019	30.23	18.60	11.63	4.65	9.30	2.33	2.33	11.63	2.33	0.00	0.00	6.98	0
AHUT-SC	36.60	18.30	10.64	6.81	0.85	3.40	3.83	4.68	3.40	3.83	3.40	4.26	2
Fractals2019	37.78	26.67	4.44	6.67	2.22	2.22	6.67	4.44	6.67	0.00	2.22	0.00	0
AHUT-SC	33.33	17.54	14.91	5.26	4.39	5.26	2.63	1.75	6.14	3.51	1.75	3.51	2
CYRUS2019	28.85	19.23	10.58	12.50	2.88	2.88	4.81	3.85	4.81	2.88	3.85	2.88	0
AHUT-SC	35.12	20.24	8.33	7.74	5.95	5.95	4.17	1.79	1.19	5.36	2.38	1.79	1
CYRUS2018	25.26	18.95	20.00	6.32	9.47	3.16	3.16	2.11	3.16	2.11	4.21	2.11	0
AHUT-SC	36.59	20.33	8.94	7.32	3.25	4.88	4.88	2.44	4.07	3.25	0.81	3.25	0
CYRUS2018	22.00	24.00	16.00	7.00	8.00	7.00	2.00	5.00	1.00	4.00	0.00	4.00	2
