Apollo2D	 40.09	 14.52	 9.26	 6.21	 5.02	 4.63	 3.1	 2.79	 3.65	 2.93	 4.34	 3.43	 0.28	 5
Apollo2D	 34.45	 16.44	 4.65	 9.22	 11.34	 1.76	 4.2	 2.7	 6.66	 1.57	 1.08	 5.01	 0.28	 6
Apollo2D	 58.47	 4.68	 4.12	 9.7	 4.6	 1.79	 6.97	 1.31	 3.6	 1.2	 1.4	 2.16	 0.28	 7
Apollo2D3	 48.53	 19.11	 9.95	 5.7	 3.59	 2.35	 2.77	 1.4	 1.56	 1.27	 1.23	 2.55	 0.56	 0
Apollo2D3	 38.88	 20.58	 10.46	 8.33	 4.72	 4.09	 2.24	 1.91	 1.62	 2.73	 1.96	 1.08	 0.56	 1
Apollo2D3	 46.34	 18.21	 10.6	 6.29	 4.59	 3.31	 2.91	 1.83	 1.63	 1.22	 1.48	 1.58	 0.56	 2
Apollo2D3	 45.73	 19.6	 9.94	 6.38	 4.18	 2.8	 2.64	 1.97	 1.58	 1.82	 1.57	 1.78	 0.56	 3
Apollo2D3	 38.45	 19.32	 10.61	 5.4	 3.86	 4.57	 3.86	 3.25	 2.88	 2.5	 2.24	 3.07	 0.56	 4
Apollo2D3	 30.61	 18.05	 11.3	 7.66	 5.29	 4.96	 3.64	 3.39	 3.69	 3.9	 3.16	 4.33	 0.56	 5
Apollo2D3	 42.17	 16.13	 11.48	 7.16	 3.23	 0.88	 4.38	 2.44	 3.26	 2.38	 3.57	 2.92	 0.56	 6
Apollo2D3	 45.3	 13.66	 8.5	 7.05	 4.6	 3.23	 2.41	 3.52	 2.47	 3.63	 2.69	 1.76	 0.56	 7
CSU_Yunlu	 46.18	 19.33	 10.36	 6.06	 3.46	 3.15	 2.4	 2.25	 1.27	 1.91	 1.37	 2.27	 1.17	 0
CSU_Yunlu	 29.34	 17.57	 12.74	 7.87	 8.2	 4.32	 5.05	 2.95	 1.77	 3.63	 3.6	 2.95	 1.17	 1
CSU_Yunlu	 41.36	 18.7	 10.29	 7.04	 4.76	 3.09	 2.91	 2.56	 2.14	 2.22	 2.5	 2.43	 1.17	 2
CSU_Yunlu	 40.79	 19.54	 10.48	 6.29	 5.39	 3.19	 2.32	 2.09	 2.15	 2.64	 2.86	 2.27	 1.17	 3
CSU_Yunlu	 34.5	 16.55	 11.21	 6.85	 4.82	 4.13	 3.68	 3.78	 2.68	 4.52	 3.62	 3.65	 1.17	 4
CSU_Yunlu	 21.2	 14.87	 10.14	 8.44	 6.37	 5.77	 6.82	 5.3	 5.6	 4.73	 4.54	 6.23	 1.17	 5
CSU_Yunlu	 43.09	 15.35	 8.22	 5.24	 5.13	 3.05	 3.51	 5.58	 1.97	 2.9	 1.89	 1.78	 1.17	 6
CSU_Yunlu	 43.36	 6.39	 3.26	 6.99	 4.44	 6.83	 5.73	 1.05	 9.59	 6.67	 2.9	 2.79	 1.17	 7
