 YuShan_4231	 20.84	 0.17	 0.3	 0.54	 78.73	 21.06	 37.06	 4.08	 0.92	 1
         GLD	 111.67	 0.18	 0.4	 0.43	 86.97	 16.39	 44.26	 0.92	 0.08	 2
 YuShan_4231	 154.09	 0.21	 0.53	 0.26	 83.28	 18.71	 35.04	 4.08	 0.92	 2
         GLD	 92.0	 0.25	 0.35	 0.4	 84.57	 18.97	 35.34	 0.92	 0.08	 3
 YuShan_4231	 111.08	 0.29	 0.28	 0.42	 75.77	 22.99	 27.33	 4.08	 0.92	 3
         GLD	 65.76	 0.19	 0.43	 0.38	 79.01	 20.81	 37.1	 0.92	 0.08	 4
 YuShan_4231	 100.83	 0.23	 0.43	 0.34	 80.61	 20.13	 33.39	 4.08	 0.92	 4
         GLD	 53.83	 0.3	 0.2	 0.5	 70.16	 22.87	 30.67	 0.92	 0.08	 5
 YuShan_4231	 128.51	 0.34	 0.27	 0.39	 72.29	 24.52	 27.25	 4.08	 0.92	 5
         GLD	 8.6	 0.33	 0.19	 0.49	 153.43	 22.29	 74.29	 0.92	 0.08	 6
 YuShan_4231	 13.5	 0.42	 0.22	 0.36	 69.24	 34.6	 27.13	 4.08	 0.92	 6
         GLD	 7.33	 0.33	 0.11	 0.56	 88.98	 57.06	 16.22	 0.92	 0.08	 7
 YuShan_4231	 10.99	 0.33	 0.17	 0.51	 76.61	 49.15	 11.95	 4.08	 0.92	 7
        Oxsy	 22.74	 0.26	 0.45	 0.28	 69.92	 12.01	 39.47	 2.28	 0.71	 0
      YS4231	 43.41	 0.17	 0.57	 0.26	 87.93	 19.34	 36.69	 0.72	 0.24	 0
        Oxsy	 23.57	 0.28	 0.41	 0.31	 81.59	 5.79	 37.62	 2.28	 0.71	 1
      YS4231	 11.77	 0.14	 0.47	 0.39	 91.36	 15.79	 40.06	 0.72	 0.24	 1
        Oxsy	 36.32	 0.29	 0.47	 0.25	 72.49	 6.1	 39.54	 2.28	 0.71	 2
      YS4231	 313.9	 0.18	 0.61	 0.21	 79.05	 19.15	 31.87	 0.72	 0.24	 2
        Oxsy	 52.13	 0.35	 0.4	 0.24	 74.85	 5.66	 34.97	 2.28	 0.71	 3
      YS4231	 180.1	 0.22	 0.37	 0.41	 75.82	 21.88	 31.82	 0.72	 0.24	 3
        Oxsy	 42.29	 0.39	 0.38	 0.22	 67.41	 12.16	 29.27	 2.28	 0.71	 4
      YS4231	 76.19	 0.24	 0.4	 0.36	 80.03	 20.84	 31.3	 0.72	 0.24	 4
        Oxsy	 33.62	 0.44	 0.33	 0.23	 72.27	 6.66	 34.28	 2.28	 0.71	 5
      YS4231	 124.94	 0.34	 0.26	 0.41	 71.71	 28.73	 27.35	 0.72	 0.24	 5
        Oxsy	 5.32	 0.49	 0.22	 0.29	 69.84	 33.49	 41.28	 2.28	 0.71	 6
      YS4231	 6.5	 0.29	 0.28	 0.43	 90.09	 30.08	 37.72	 0.72	 0.24	 6
        Oxsy	 3.35	 0.61	 0.17	 0.22	 77.2	 35.8	 13.23	 2.28	 0.71	 7
      YS4231	 15.52	 0.27	 0.2	 0.53	 69.4	 34.72	 28.4	 0.72	 0.24	 7
        Oxsy	 16.13	 0.3	 0.41	 0.29	 69.56	 12.04	 38.27	 1.83	 0.64	 0
    ALLTeams	 31.99	 0.19	 0.51	 0.3	 82.63	 20.01	 32.75	 0.84	 0.28	 0
        Oxsy	 14.32	 0.3	 0.38	 0.32	 79.44	 5.66	 39.8	 1.83	 0.64	 1
    ALLTeams	 15.49	 0.13	 0.39	 0.48	 90.16	 15.44	 40.54	 0.84	 0.28	 1
        Oxsy	 38.54	 0.3	 0.47	 0.22	 74.04	 6.9	 35.91	 1.83	 0.64	 2
    ALLTeams	 229.76	 0.19	 0.54	 0.28	 77.24	 18.08	 32.18	 0.84	 0.28	 2
        Oxsy	 69.16	 0.33	 0.43	 0.23	 77.3	 5.01	 35.73	 1.83	 0.64	 3
    ALLTeams	 277.94	 0.22	 0.38	 0.4	 75.19	 18.87	 33.75	 0.84	 0.28	 3
        Oxsy	 26.53	 0.41	 0.37	 0.22	 69.18	 10.47	 31.11	 1.83	 0.64	 4
    ALLTeams	 70.59	 0.25	 0.39	 0.36	 79.81	 21.58	 31.83	 0.84	 0.28	 4
        Oxsy	 36.59	 0.47	 0.32	 0.21	 72.7	 5.44	 31.1	 1.83	 0.64	 5
    ALLTeams	 170.53	 0.3	 0.33	 0.37	 75.15	 22.2	 30.41	 0.84	 0.28	 5
        Oxsy	 4.72	 0.5	 0.24	 0.27	 81.42	 35.55	 34.64	 1.83	 0.64	 6
    ALLTeams	 7.83	 0.29	 0.3	 0.42	 90.93	 34.23	 37.29	 0.84	 0.28	 6
        Oxsy	 3.76	 0.58	 0.18	 0.24	 78.02	 35.5	 26.67	 1.83	 0.64	 7
    ALLTeams	 21.53	 0.27	 0.2	 0.53	 73.52	 35.8	 25.12	 0.84	 0.28	 7
